Year,Team,Player,Base Price,Winning Bid,Capped/Uncapped,Overseas,RTM
2017,IPL 2017: IPL 10 Auction,Delhi Daredevils,90500000.0,9.0,26,No,No
2017,IPL 2017: IPL 10 Auction,Gujarat Lions,105000000.0,8.0,27,No,No
2017,IPL 2017: IPL 10 Auction,Kings XI Punjab,139000000.0,9.0,27,No,No
2017,IPL 2017: IPL 10 Auction,Kolkata Knight Riders,54000000.0,9.0,23,No,No
2017,IPL 2017: IPL 10 Auction,Mumbai Indians,33550000.0,9.0,27,No,No
2017,IPL 2017: IPL 10 Auction,Rising Pune Supergiant,3000000.0,8.0,26,No,No
2017,IPL 2017: IPL 10 Auction,Royal Challengers Bengaluru,24250000.0,9.0,24,No,No
2017,IPL 2017: IPL 10 Auction,Sunrisers Hyderabad,122500000.0,9.0,25,No,No
2017,Buys,Rising Pune Supergiant,,,"₹14,50,00,000",No,No
2017,Buys,Royal Challengers Bengaluru,,,"₹12,00,00,000",No,No
2017,Buys,Kolkata Knight Riders,,,"₹5,00,00,000",No,No
2017,Buys,Delhi Daredevils,,,"₹5,00,00,000",No,No
2017,Buys,Delhi Daredevils,,,"₹4,50,00,000",No,No
2017,Buys,Kolkata Knight Riders,,,"₹4,20,00,000",No,No
2017,Buys,Sunrisers Hyderabad,,,"₹4,00,00,000",No,No
2017,Buys,Kolkata Knight Riders,,,"₹3,50,00,000",No,No
