Year,Team,Player,Base Price,Winning Bid,Capped/Uncapped,Overseas,RTM
2018,franchises buy 169 players at VIVO IPL 2018 Player Auction,Chennai Super Kings,65000000.0,8.0,25,No,No
2018,franchises buy 169 players at VIVO IPL 2018 Player Auction,Delhi Daredevils,16000000.0,8.0,25,No,No
2018,franchises buy 169 players at VIVO IPL 2018 Player Auction,Kings XI Punjab,1000000.0,7.0,21,No,No
2018,franchises buy 169 players at VIVO IPL 2018 Player Auction,Kolkata Knight Riders,0.0,7.0,19,No,No
2018,franchises buy 169 players at VIVO IPL 2018 Player Auction,Mumbai Indians,6500000.0,8.0,25,No,No
2018,franchises buy 169 players at VIVO IPL 2018 Player Auction,Rajasthan Royals,16500000.0,8.0,23,No,No
2018,franchises buy 169 players at VIVO IPL 2018 Player Auction,Royal Challengers Bengaluru,1500000.0,8.0,24,No,No
2018,franchises buy 169 players at VIVO IPL 2018 Player Auction,Sunrisers Hyderabad,6500000.0,8.0,25,No,No
2018,Buys,Rajasthan Royals,,,"₹12,50,00,000",No,No
2018,Buys,Rajasthan Royals,,,"₹11,50,00,000",No,No
2018,Buys,Sunrisers Hyderabad,,,"₹11,00,00,000",No,No
2018,Buys,Kings XI Punjab,,,"₹11,00,00,000",No,No
2018,Buys,Kolkata Knight Riders,,,"₹9,60,00,000",No,No
2018,Buys,Kolkata Knight Riders,,,"₹9,40,00,000",No,No
2018,Buys,Delhi Daredevils,,,"₹9,00,00,000",No,No
2018,Buys,Sunrisers Hyderabad,,,"₹9,00,00,000",No,No
