Year,Team,Player,Base Price,Winning Bid,Capped/Uncapped,Overseas,RTM
2016,IPL 2016: IPL Auction,Delhi Daredevils,61500000.0,9.0,27,No,No
2016,IPL 2016: IPL Auction,Gujarat Lions,103500000.0,7.0,24,No,No
2016,IPL 2016: IPL Auction,Kings XI Punjab,124500000.0,7.0,22,No,No
2016,IPL 2016: IPL Auction,Kolkata Knight Riders,122500000.0,9.0,22,No,No
2016,IPL 2016: IPL Auction,Mumbai Indians,13050000.0,8.0,26,No,No
2016,IPL 2016: IPL Auction,Rising Pune Supergiant,52000000.0,7.0,23,No,No
2016,IPL 2016: IPL Auction,Royal Challengers Bengaluru,61750000.0,9.0,25,No,No
2016,IPL 2016: IPL Auction,Sunrisers Hyderabad,84000000.0,7.0,25,No,No
2016,Buys,Royal Challengers Bengaluru,,,"9,50,00,000",No,No
2016,Buys,Delhi Daredevils,,,"8,50,00,000",No,No
2016,Buys,Delhi Daredevils,,,"7,00,00,000",No,No
2016,Buys,Sunrisers Hyderabad,,,"7,00,00,000",No,No
2016,Buys,Kings XI Punjab,,,"6,50,00,000",No,No
2016,Buys,Sunrisers Hyderabad,,,"5,50,00,000",No,No
2016,Buys,Rising Pune Supergiant,,,"4,80,00,000",No,No
2016,Buys,Rising Pune Supergiant,,,"4,50,00,000",No,No
