Year,Team,Player,Base Price,Winning Bid,Capped/Uncapped,Overseas,RTM
2021,franchises buy 57 players at IPL 2021 Player Auction,Chennai Super Kings,25500000.0,8.0,25,No,No
2021,franchises buy 57 players at IPL 2021 Player Auction,Delhi Capitals,21500000.0,8.0,25,No,No
2021,franchises buy 57 players at IPL 2021 Player Auction,Kolkata Knight Riders,32000000.0,8.0,25,No,No
2021,franchises buy 57 players at IPL 2021 Player Auction,Mumbai Indians,36500000.0,8.0,25,No,No
2021,franchises buy 57 players at IPL 2021 Player Auction,Punjab Kings,188000000.0,8.0,25,No,No
2021,franchises buy 57 players at IPL 2021 Player Auction,Rajasthan Royals,136500000.0,8.0,24,No,No
2021,franchises buy 57 players at IPL 2021 Player Auction,Royal Challengers Bengaluru,3500000.0,8.0,22,No,No
2021,franchises buy 57 players at IPL 2021 Player Auction,Sunrisers Hyderabad,69500000.0,8.0,25,No,No
2021,Buys,Rajasthan Royals,,,"₹16,25,00,000",No,No
2021,Buys,Royal Challengers Bengaluru,,,"₹15,00,00,000",No,No
2021,Buys,Royal Challengers Bengaluru,,,"₹14,25,00,000",No,No
2021,Buys,Punjab Kings,,,"₹14,00,00,000",No,No
2021,Buys,Chennai Super Kings,,,"₹9,25,00,000",No,No
2021,Buys,Punjab Kings,,,"₹8,00,00,000",No,No
2021,Buys,Chennai Super Kings,,,"₹7,00,00,000",No,No
2021,Buys,Punjab Kings,,,"₹5,25,00,000",No,No
