Year,Team,Player,Base Price,Winning Bid,Capped/Uncapped,Overseas,RTM
2022,IPL Auction - 2022,Chennai Super Kings,29500000.0,8.0,25,No,No
2022,IPL Auction - 2022,Delhi Capitals,1000000.0,7.0,24,No,No
2022,IPL Auction - 2022,Gujarat Titans,1500000.0,8.0,23,No,No
2022,IPL Auction - 2022,Kolkata Knight Riders,4500000.0,8.0,25,No,No
2022,IPL Auction - 2022,Lucknow Super Giants,0.0,7.0,21,No,No
2022,IPL Auction - 2022,Mumbai Indians,1000000.0,8.0,25,No,No
2022,IPL Auction - 2022,Punjab Kings,34500000.0,7.0,25,No,No
2022,IPL Auction - 2022,Rajasthan Royals,9500000.0,8.0,24,No,No
2022,IPL Auction - 2022,Royal Challengers Bangalore,15500000.0,8.0,22,No,No
2022,IPL Auction - 2022,Sunrisers Hyderabad,1000000.0,8.0,23,No,No
2022,Super Kings,Deepak Chahar,,,"₹14,00,00,000",No,No
2022,Super Kings,Ambati Rayudu,,,"₹6,75,00,000",No,No
2022,Super Kings,Dwayne Bravo,,,"₹4,40,00,000",No,No
2022,Super Kings,Shivam Dube,,,"₹4,00,00,000",No,No
2022,Super Kings,Chris Jordan,,,"₹3,60,00,000",No,No
2022,Super Kings,Robin Uthappa,,,"₹2,00,00,000",No,No
2022,Super Kings,Mitchell Santner,,,"₹1,90,00,000",No,No
2022,Super Kings,Adam Milne,,,"₹1,90,00,000",No,No
2022,Super Kings,Rajvardhan Hangargekar,,,"₹1,50,00,000",No,No
2022,Super Kings,Prashant Solanki,,,"₹1,20,00,000",No,No
2022,Super Kings,Devon Conway,,,"₹1,00,00,000",No,No
2022,Super Kings,Maheesh Theekshana,,,"₹70,00,000",No,No
2022,Super Kings,Dwaine Pretorius,,,"₹50,00,000",No,No
2022,Super Kings,C.Hari Nishaanth,,,"₹20,00,000",No,No
2022,Super Kings,N. Jagadeesan,,,"₹20,00,000",No,No
2022,Super Kings,K.M. Asif,,,"₹20,00,000",No,No
2022,Super Kings,Tushar Deshpande,,,"₹20,00,000",No,No
2022,Super Kings,Simarjeet Singh,,,"₹20,00,000",No,No
2022,Super Kings,Subhranshu Senapati,,,"₹20,00,000",No,No
2022,Super Kings,Mukesh Choudhary,,,"₹20,00,000",No,No
2022,Super Kings,K.Bhagath Varma,,,"₹20,00,000",No,No
2022,Capitals,Shardul Thakur,,,"₹10,75,00,000",No,No
2022,Capitals,Mitchell Marsh,,,"₹6,50,00,000",No,No
2022,Capitals,David Warner,,,"₹6,25,00,000",No,No
2022,Capitals,Syed Khaleel Ahmed,,,"₹5,25,00,000",No,No
2022,Capitals,Chetan Sakariya,,,"₹4,20,00,000",No,No
2022,Capitals,Rovman Powell,,,"₹2,80,00,000",No,No
2022,Capitals,Mustafizur Rahman,,,"₹2,00,00,000",No,No
2022,Capitals,Kuldeep Yadav,,,"₹2,00,00,000",No,No
2022,Capitals,K.S. Bharat,,,"₹2,00,00,000",No,No
2022,Capitals,Kamlesh Nagarkoti,,,"₹1,10,00,000",No,No
2022,Capitals,Mandeep Singh,,,"₹1,10,00,000",No,No
2022,Capitals,Lalit Yadav,,,"₹65,00,000",No,No
2022,Capitals,Lungisani Ngidi,,,"₹50,00,000",No,No
2022,Capitals,Yash Dhull,,,"₹50,00,000",No,No
2022,Capitals,Tim Seifert,,,"₹50,00,000",No,No
2022,Capitals,Pravin Dubey,,,"₹50,00,000",No,No
2022,Capitals,Ashwin Hebbar,,,"₹20,00,000",No,No
2022,Capitals,Sarfaraz Khan,,,"₹20,00,000",No,No
2022,Capitals,Vicky Ostwal,,,"₹20,00,000",No,No
2022,Capitals,Ripal Patel,,,"₹20,00,000",No,No
2022,Titans,Lockie Ferguson,,,"₹10,00,00,000",No,No
2022,Titans,Rahul Tewatia,,,"₹9,00,00,000",No,No
2022,Titans,Mohammad Shami,,,"₹6,25,00,000",No,No
2022,Titans,Yash  Dayal,,,"₹3,20,00,000",No,No
2022,Titans,David Miller,,,"₹3,00,00,000",No,No
2022,Titans,R. Sai Kishore,,,"₹3,00,00,000",No,No
2022,Titans,Abhinav Sadarangani,,,"₹2,60,00,000",No,No
2022,Titans,Matthew Wade,,,"₹2,40,00,000",No,No
2022,Titans,Alzarri Joseph,,,"₹2,40,00,000",No,No
2022,Titans,Jason Roy,,,"₹2,00,00,000",No,No
2022,Titans,Wriddhiman  Saha,,,"₹1,90,00,000",No,No
2022,Titans,Jayant Yadav,,,"₹1,70,00,000",No,No
2022,Titans,Vijay Shankar,,,"₹1,40,00,000",No,No
2022,Titans,Dominic Drakes,,,"₹1,10,00,000",No,No
2022,Titans,Gurkeerat Singh,,,"₹50,00,000",No,No
2022,Titans,Varun Aaron,,,"₹50,00,000",No,No
2022,Titans,Noor  Ahmad,,,"₹30,00,000",No,No
2022,Titans,Darshan Nalkande,,,"₹20,00,000",No,No
2022,Titans,B. Sai Sudharsan,,,"₹20,00,000",No,No
2022,Titans,Pradeep Sangwan,,,"₹20,00,000",No,No
2022,Knight Riders,Shreyas Iyer,,,"₹12,25,00,000",No,No
2022,Knight Riders,Nitish Rana,,,"₹8,00,00,000",No,No
2022,Knight Riders,Pat Cummins,,,"₹7,25,00,000",No,No
2022,Knight Riders,Shivam  Mavi,,,"₹7,25,00,000",No,No
2022,Knight Riders,Sam Billings,,,"₹2,00,00,000",No,No
2022,Knight Riders,Umesh Yadav,,,"₹2,00,00,000",No,No
2022,Knight Riders,Alex Hales,,,"₹1,50,00,000",No,No
2022,Knight Riders,Tim Southee,,,"₹1,50,00,000",No,No
2022,Knight Riders,Mohammad  Nabi,,,"₹1,00,00,000",No,No
2022,Knight Riders,Ajinkya Rahane,,,"₹1,00,00,000",No,No
2022,Knight Riders,Sheldon Jackson,,,"₹60,00,000",No,No
2022,Knight Riders,Rinku Singh,,,"₹55,00,000",No,No
2022,Knight Riders,Ashok Sharma,,,"₹55,00,000",No,No
2022,Knight Riders,Chamika Karunaratne,,,"₹50,00,000",No,No
2022,Knight Riders,Abhijeet Tomar,,,"₹40,00,000",No,No
2022,Knight Riders,Anukul Roy,,,"₹20,00,000",No,No
2022,Knight Riders,Rasikh Dar,,,"₹20,00,000",No,No
2022,Knight Riders,Baba Indrajith,,,"₹20,00,000",No,No
2022,Knight Riders,Aman Khan,,,"₹20,00,000",No,No
2022,Knight Riders,Ramesh Kumar,,,"₹20,00,000",No,No
2022,Knight Riders,Pratham Singh,,,"₹20,00,000",No,No
2022,Super Giants,Avesh Khan,,,"₹10,00,00,000",No,No
2022,Super Giants,Jason Holder,,,"₹8,75,00,000",No,No
2022,Super Giants,Krunal Pandya,,,"₹8,25,00,000",No,No
2022,Super Giants,Mark Wood,,,"₹7,50,00,000",No,No
2022,Super Giants,Quinton De Kock,,,"₹6,75,00,000",No,No
2022,Super Giants,Deepak Hooda,,,"₹5,75,00,000",No,No
2022,Super Giants,Manish Pandey,,,"₹4,60,00,000",No,No
2022,Super Giants,Dushmanta Chameera,,,"₹2,00,00,000",No,No
2022,Super Giants,Evin Lewis,,,"₹2,00,00,000",No,No
2022,Super Giants,K. Gowtham,,,"₹90,00,000",No,No
2022,Super Giants,Ankit Singh Rajpoot,,,"₹50,00,000",No,No
2022,Super Giants,Shahbaz Nadeem,,,"₹50,00,000",No,No
2022,Super Giants,Kyle Mayers,,,"₹50,00,000",No,No
2022,Super Giants,Manan Vohra,,,"₹20,00,000",No,No
2022,Super Giants,Mohsin Khan,,,"₹20,00,000",No,No
2022,Super Giants,Mayank Yadav,,,"₹20,00,000",No,No
2022,Super Giants,Ayush Badoni,,,"₹20,00,000",No,No
2022,Super Giants,Karan Sharma,,,"₹20,00,000",No,No
2022,Indians,Ishan Kishan,,,"₹15,25,00,000",No,No
2022,Indians,Tim David,,,"₹8,25,00,000",No,No
2022,Indians,Jofra Archer,,,"₹8,00,00,000",No,No
2022,Indians,Dewald Brevis,,,"₹3,00,00,000",No,No
2022,Indians,Daniel Sams,,,"₹2,60,00,000",No,No
2022,Indians,N. Tilak Varma,,,"₹1,70,00,000",No,No
2022,Indians,Murugan Ashwin,,,"₹1,60,00,000",No,No
2022,Indians,Tymal Mills,,,"₹1,50,00,000",No,No
2022,Indians,Jaydev Unadkat,,,"₹1,30,00,000",No,No
2022,Indians,Riley Meredith,,,"₹1,00,00,000",No,No
2022,Indians,Fabian Allen,,,"₹75,00,000",No,No
2022,Indians,Mayank Markande,,,"₹65,00,000",No,No
2022,Indians,Sanjay Yadav,,,"₹50,00,000",No,No
2022,Indians,Basil Thampi,,,"₹30,00,000",No,No
2022,Indians,Arjun  Tendulkar,,,"₹30,00,000",No,No
2022,Indians,Anmolpreet Singh,,,"₹20,00,000",No,No
2022,Indians,Ramandeep  Singh,,,"₹20,00,000",No,No
2022,Indians,Aryan Juyal,,,"₹20,00,000",No,No
2022,Indians,Rahul Buddhi,,,"₹20,00,000",No,No
2022,Indians,Hrithik Shokeen,,,"₹20,00,000",No,No
2022,Indians,Mohd. Arshad Khan,,,"₹20,00,000",No,No
2022,Kings,Liam Livingstone,,,"₹11,50,00,000",No,No
2022,Kings,Kagiso Rabada,,,"₹9,25,00,000",No,No
2022,Kings,Shahrukh Khan,,,"₹9,00,00,000",No,No
2022,Kings,Shikhar Dhawan,,,"₹8,25,00,000",No,No
2022,Kings,Jonny Bairstow,,,"₹6,75,00,000",No,No
2022,Kings,Odean Smith,,,"₹6,00,00,000",No,No
2022,Kings,Rahul Chahar,,,"₹5,25,00,000",No,No
2022,Kings,Harpreet  Brar,,,"₹3,80,00,000",No,No
2022,Kings,Raj Angad Bawa,,,"₹2,00,00,000",No,No
2022,Kings,Vaibhav Arora,,,"₹2,00,00,000",No,No
2022,Kings,Nathan Ellis,,,"₹75,00,000",No,No
2022,Kings,Prabhsimran Singh,,,"₹60,00,000",No,No
2022,Kings,Rishi Dhawan,,,"₹55,00,000",No,No
2022,Kings,Sandeep Sharma,,,"₹50,00,000",No,No
2022,Kings,Bhanuka Rajapaksa,,,"₹50,00,000",No,No
2022,Kings,Benny Howell,,,"₹40,00,000",No,No
2022,Kings,Ishan Porel,,,"₹25,00,000",No,No
2022,Kings,Jitesh Sharma,,,"₹20,00,000",No,No
2022,Kings,Prerak Mankad,,,"₹20,00,000",No,No
2022,Kings,Atharva Taide,,,"₹20,00,000",No,No
2022,Kings,Writtick Chatterjee,,,"₹20,00,000",No,No
2022,Kings,Baltej Dhanda,,,"₹20,00,000",No,No
2022,Kings,Ansh Patel,,,"₹20,00,000",No,No
2022,Royals,Prasidh Krishna,,,"₹10,00,00,000",No,No
2022,Royals,Shimron Hetmyer,,,"₹8,50,00,000",No,No
2022,Royals,Trent Boult,,,"₹8,00,00,000",No,No
2022,Royals,Devdutt Padikkal,,,"₹7,75,00,000",No,No
2022,Royals,Yuzvendra Chahal,,,"₹6,50,00,000",No,No
2022,Royals,R. Ashwin,,,"₹5,00,00,000",No,No
2022,Royals,Riyan Parag,,,"₹3,80,00,000",No,No
2022,Royals,Navdeep Saini,,,"₹2,60,00,000",No,No
2022,Royals,Nathan Coulter-Nile,,,"₹2,00,00,000",No,No
