Year,Team,Player,Base Price,Winning Bid,Capped/Uncapped,Overseas,RTM
2013,IPL 2013: IPL Auction,Chennai Super Kings,1846087.0,11.0,22,No,No
2013,IPL 2013: IPL Auction,Delhi Daredevils,655978.0,11.0,26,No,No
2013,IPL 2013: IPL Auction,Kings XI Punjab,6072826.0,8.0,23,No,No
2013,IPL 2013: IPL Auction,Kolkata Knight Riders,1508696.0,11.0,23,No,No
2013,IPL 2013: IPL Auction,Mumbai Indians,341739.0,11.0,28,No,No
2013,IPL 2013: IPL Auction,Pune Warriors India,804130.0,11.0,33,No,No
2013,IPL 2013: IPL Auction,Rajasthan Royals,7071304.0,10.0,21,No,No
2013,IPL 2013: IPL Auction,Royal Challengers Bengaluru,711522.0,10.0,31,No,No
2013,IPL 2013: IPL Auction,Sunrisers Hyderabad,5583696.0,11.0,26,No,No
2013,Buys,Mumbai Indians,,,"$1,000,000",No,No
2013,Buys,Pune Warriors India,,,"$725,000",No,No
2013,Buys,Pune Warriors India,,,"$700,000",No,No
2013,Buys,Pune Warriors India,,,"$675,000",No,No
2013,Buys,Sunrisers Hyderabad,,,"$675,000",No,No
2013,Buys,Kolkata Knight Riders,,,"$625,000",No,No
2013,Buys,Chennai Super Kings,,,"$625,000",No,No
2013,Buys,Chennai Super Kings,,,"$600,000",No,No
