Year,Team,Player,Base Price,Winning Bid,Capped/Uncapped,Overseas,RTM
2024,Super Kings,Daryl Mitchell,,,"₹14,00,00,000",No,No
2024,Super Kings,Sameer Rizvi,,,"₹8,40,00,000",No,No
2024,Super Kings,Shardul Thakur,,,"₹4,00,00,000",No,No
2024,Super Kings,Mustafizur Rahman,,,"₹2,00,00,000",No,No
2024,Super Kings,Rachin Ravindra,,,"₹1,80,00,000",No,No
2024,Super Kings,Avanish Rao Aravelly,,,"₹20,00,000",No,No
2024,Capitals,Kumar Kushagra,,,"₹7,20,00,000",No,No
2024,Capitals,Jhye Richardson,,,"₹5,00,00,000",No,No
2024,Capitals,Harry Brook,,,"₹4,00,00,000",No,No
2024,Capitals,Sumit Kumar,,,"₹1,00,00,000",No,No
2024,Capitals,Shai Hope,,,"₹75,00,000",No,No
2024,Capitals,Tristan Stubbs,,,"₹50,00,000",No,No
2024,Capitals,Ricky Bhui,,,"₹20,00,000",No,No
2024,Capitals,Swastik Chhikara,,,"₹20,00,000",No,No
2024,Capitals,Rasikh Dar,,,"₹20,00,000",No,No
2024,Titans,Spencer Johnson,,,"₹10,00,00,000",No,No
2024,Titans,Shahrukh Khan,,,"₹7,40,00,000",No,No
2024,Titans,Umesh Yadav,,,"₹5,80,00,000",No,No
2024,Titans,Robin Minz,,,"₹3,60,00,000",No,No
2024,Titans,Sushant Mishra,,,"₹2,20,00,000",No,No
2024,Titans,Kartik Tyagi,,,"₹60,00,000",No,No
2024,Titans,Azmatullah Omarzai,,,"₹50,00,000",No,No
2024,Titans,Manav Suthar,,,"₹20,00,000",No,No
2024,Knight Riders,Mitchell  Starc,,,"₹24,75,00,000",No,No
2024,Knight Riders,Mujeeb Rahman,,,"₹2,00,00,000",No,No
2024,Knight Riders,Sherfane Rutherford,,,"₹1,50,00,000",No,No
2024,Knight Riders,Gus Atkinson,,,"₹1,00,00,000",No,No
2024,Knight Riders,Manish Pandey,,,"₹50,00,000",No,No
2024,Knight Riders,K.S. Bharat,,,"₹50,00,000",No,No
2024,Knight Riders,Chetan Sakariya,,,"₹50,00,000",No,No
2024,Knight Riders,Angkrish Raghuvanshi,,,"₹20,00,000",No,No
2024,Knight Riders,Ramandeep  Singh,,,"₹20,00,000",No,No
2024,Knight Riders,Sakib Hussain,,,"₹20,00,000",No,No
2024,Super Giants,Shivam  Mavi,,,"₹6,40,00,000",No,No
2024,Super Giants,M. Siddharth,,,"₹2,40,00,000",No,No
2024,Super Giants,David Willey,,,"₹2,00,00,000",No,No
2024,Super Giants,Ashton Turner,,,"₹1,00,00,000",No,No
2024,Super Giants,Arshin Kulkarni,,,"₹20,00,000",No,No
2024,Super Giants,Mohd. Arshad Khan,,,"₹20,00,000",No,No
2024,Indians,Gerald Coetzee,,,"₹5,00,00,000",No,No
2024,Indians,Nuwan Thushara,,,"₹4,80,00,000",No,No
2024,Indians,Dilshan Madushanka,,,"₹4,60,00,000",No,No
2024,Indians,Mohammad Nabi,,,"₹1,50,00,000",No,No
2024,Indians,Shreyas Gopal,,,"₹20,00,000",No,No
2024,Indians,Shivalik Sharma,,,"₹20,00,000",No,No
2024,Indians,Anshul Kamboj,,,"₹20,00,000",No,No
2024,Indians,Naman Dhir,,,"₹20,00,000",No,No
2024,Kings,Harshal Patel,,,"₹11,75,00,000",No,No
2024,Kings,Rilee Rossouw,,,"₹8,00,00,000",No,No
2024,Kings,Chris Woakes,,,"₹4,20,00,000",No,No
2024,Kings,Tanay Thyagarajann,,,"₹20,00,000",No,No
2024,Kings,Vishwanath Pratap Singh,,,"₹20,00,000",No,No
2024,Kings,Ashutosh Sharma,,,"₹20,00,000",No,No
2024,Kings,Shashank  Singh,,,"₹20,00,000",No,No
2024,Kings,Prince Choudhary,,,"₹20,00,000",No,No
2024,Royals,Rovman Powell,,,"₹7,40,00,000",No,No
2024,Royals,Shubham Dubey,,,"₹5,80,00,000",No,No
2024,Royals,Nandre Burger,,,"₹50,00,000",No,No
2024,Royals,Tom Kohler-Cadmore,,,"₹40,00,000",No,No
2024,Royals,Abid Mushtaq,,,"₹20,00,000",No,No
2024,Challengers Bengaluru,Alzarri Joseph,,,"₹11,50,00,000",No,No
2024,Challengers Bengaluru,Yash  Dayal,,,"₹5,00,00,000",No,No
2024,Challengers Bengaluru,Lockie Ferguson,,,"₹2,00,00,000",No,No
2024,Challengers Bengaluru,Tom Curran,,,"₹1,50,00,000",No,No
2024,Challengers Bengaluru,Saurav Chuahan,,,"₹20,00,000",No,No
2024,Challengers Bengaluru,Swapnil Singh,,,"₹20,00,000",No,No
2024,Hyderabad,Pat Cummins,,,"₹20,50,00,000",No,No
2024,Hyderabad,Travis Head,,,"₹6,80,00,000",No,No
2024,Hyderabad,Jaydev Unadkat,,,"₹1,60,00,000",No,No
2024,Hyderabad,Wanindu Hasaranga,,,"₹1,50,00,000",No,No
2024,Hyderabad,Jhathavedh Subramanyan,,,"₹20,00,000",No,No
2024,Hyderabad,Akash Singh,,,"₹20,00,000",No,No
2024,Hyderabad,Kolkata Knight Riders,,,"₹24,75,00,000",No,No
2024,Hyderabad,Sunrisers Hyderabad,,,"₹20,50,00,000",No,No
2024,Hyderabad,Chennai Super Kings,,,"₹14,00,00,000",No,No
2024,Hyderabad,Punjab Kings,,,"₹11,75,00,000",No,No
2024,Hyderabad,Royal Challengers Bengaluru,,,"₹11,50,00,000",No,No
2024,Hyderabad,Gujarat Titans,,,"₹10,00,00,000",No,No
2024,Hyderabad,Chennai Super Kings,,,"₹8,40,00,000",No,No
2024,Hyderabad,Punjab Kings,,,"₹8,00,00,000",No,No
2024,Hyderabad,Gujarat Titans,,,"₹7,40,00,000",No,No
2024,Hyderabad,Rajasthan Royals,,,"₹7,40,00,000",No,No
2024,Royals,Steve Smith,,,"₹2,00,00,000",No,No
2024,Royals,Josh Inglis,,,"₹2,00,00,000",No,No
2024,Royals,Josh Hazlewood,,,"₹2,00,00,000",No,No
2024,Royals,Adil Rashid,,,"₹2,00,00,000",No,No
2024,Royals,Rassie Van Der Dussen,,,"₹2,00,00,000",No,No
2024,Royals,James Vince,,,"₹2,00,00,000",No,No
2024,Royals,Sean Abbott,,,"₹2,00,00,000",No,No
2024,Royals,Jamie Overton,,,"₹2,00,00,000",No,No
