Year,Team,Player,Base Price,Winning Bid,Capped/Uncapped,Overseas,RTM
2015,IPL 2015: IPL Auction,Chennai Super Kings,7000000.0,9.0,25,No,No
2015,IPL 2015: IPL Auction,Delhi Daredevils,13500000.0,9.0,25,No,No
2015,IPL 2015: IPL Auction,Kings XI Punjab,92000000.0,7.0,22,No,No
2015,IPL 2015: IPL Auction,Kolkata Knight Riders,92000000.0,9.0,23,No,No
2015,IPL 2015: IPL Auction,Mumbai Indians,49050000.0,9.0,26,No,No
2015,IPL 2015: IPL Auction,Rajasthan Royals,106500000.0,8.0,25,No,No
2015,IPL 2015: IPL Auction,Royal Challengers Bengaluru,20000000.0,9.0,26,No,No
2015,IPL 2015: IPL Auction,Sunrisers Hyderabad,93500000.0,8.0,23,No,No
2015,Buys,Delhi Daredevils,,,"₹16,00,00,000",No,No
2015,Buys,Royal Challengers Bengaluru,,,"₹10,50,00,000",No,No
2015,Buys,Delhi Daredevils,,,"₹7,50,00,000",No,No
2015,Buys,Delhi Daredevils,,,"₹4,00,00,000",No,No
2015,Buys,Sunrisers Hyderabad,,,"₹3,80,00,000",No,No
2015,Buys,Delhi Daredevils,,,"₹3,50,00,000",No,No
2015,Buys,Mumbai Indians,,,"₹3,20,00,000",No,No
2015,Buys,Kings XI Punjab,,,"₹3,00,00,000",No,No
