Year,Team,Player,Base Price,Winning Bid,Capped/Uncapped,Overseas,RTM
2014,IPL 2014: IPL Auction,Chennai Super Kings,2000000.0,9.0,25,No,No
2014,IPL 2014: IPL Auction,Delhi Daredevils,0.0,7.0,23,No,No
2014,IPL 2014: IPL Auction,Kings XI Punjab,41000000.0,7.0,23,No,No
2014,IPL 2014: IPL Auction,Kolkata Knight Riders,10000000.0,8.0,21,No,No
2014,IPL 2014: IPL Auction,Mumbai Indians,500000.0,8.0,21,No,No
2014,IPL 2014: IPL Auction,Rajasthan Royals,55500000.0,8.0,25,No,No
2014,IPL 2014: IPL Auction,Royal Challengers Bengaluru,0.0,7.0,21,No,No
2014,IPL 2014: IPL Auction,Sunrisers Hyderabad,10000000.0,7.0,24,No,No
2014,Buys,Royal Challengers Bengaluru,,,"₹14,00,00,000",No,No
2014,Buys,Delhi Daredevils,,,"₹12,50,00,000",No,No
2014,Buys,Delhi Daredevils,,,"₹9,00,00,000",No,No
2014,Buys,Kings XI Punjab,,,"₹6,50,00,000",No,No
2014,Buys,Kings XI Punjab,,,"₹6,00,00,000",No,No
2014,Buys,Kolkata Knight Riders,,,"₹5,50,00,000",No,No
2014,Buys,Sunrisers Hyderabad,,,"₹5,50,00,000",No,No
2014,Buys,Kolkata Knight Riders,,,"₹5,00,00,000",No,No
